"","Nov","Div","Dit","LEA","L_A","AES","E_I","ENT","RES","EMO","I_S","PRA","O_P","MET","FAC","I_E","FAM","DEF","G_M","INT","S_S","V_S","T_M","REN","SOC","DIS","HAR","T_E"
"469",6,9,6,10,7,5,8,8,8,4,0,9,8,6,8,5,8,0,10,9,2,10,4,9,9,6,12,3
"470",6,7,7,9,5,7,7,4,5,6,13,8,5,5,6,5,3,8,3,4,9,4,11,9,7,9,7,8
"471",8,5,6,5,6,7,5,3,5,3,9,7,5,8,5,3,5,4,6,5,4,6,7,5,3,6,9,6
"472",6,10,8,3,7,10,3,3,7,3,1,7,8,6,1,9,10,1,10,9,6,10,11,7,10,3,12,7
"473",4,4,3,3,3,6,4,3,6,4,11,8,6,8,6,6,6,5,8,6,2,3,3,9,5,5,9,5
"474",3,5,7,4,6,7,4,3,9,4,7,7,5,10,9,5,7,0,7,6,6,8,6,11,7,9,13,3
"475",3,6,5,2,6,7,4,6,7,4,7,5,6,6,5,7,8,2,9,6,3,7,9,8,6,7,12,5
"476",7,5,7,5,7,6,4,5,6,1,4,8,7,9,5,8,8,1,6,8,3,7,5,8,10,7,12,6
"477",7,8,5,7,7,7,8,8,9,3,0,9,10,8,5,6,10,0,8,7,4,10,5,10,8,3,12,6
"478",5,7,6,8,7,7,4,4,7,7,8,9,6,6,8,6,2,6,5,5,8,4,11,7,8,6,8,5
"479",7,10,6,4,7,8,5,8,10,3,4,8,6,7,7,7,8,3,8,10,5,10,7,11,9,7,13,7
"480",3,6,6,5,5,6,3,7,7,3,6,7,4,7,4,3,6,7,7,7,5,6,10,9,5,4,9,4
"481",7,5,6,6,7,4,7,4,6,2,3,7,7,6,7,5,8,5,9,5,7,8,7,9,7,4,11,5
"482",7,6,7,7,8,6,7,2,6,7,8,10,6,5,6,6,8,3,4,4,5,5,8,12,11,5,11,7
"483",3,5,6,4,5,4,3,5,6,7,10,8,2,5,5,4,3,7,4,3,7,5,10,8,6,5,5,5
"484",4,4,6,7,7,7,5,6,7,7,8,6,3,4,5,3,4,6,4,3,8,7,9,10,6,8,12,6
"485",6,3,4,9,4,4,6,4,5,4,6,5,5,8,4,3,8,6,8,4,6,5,7,6,7,3,12,5
"486",3,5,7,2,7,7,0,2,9,2,3,7,8,5,7,1,8,2,6,8,6,10,3,12,9,7,13,8
"487",4,6,4,3,5,4,6,7,5,5,2,9,6,2,5,5,6,0,10,7,1,10,6,10,7,6,11,6
"488",6,4,6,4,4,7,1,2,6,6,2,6,7,5,5,7,8,4,8,5,5,9,5,8,9,10,13,2
"489",6,7,7,3,6,7,5,5,7,1,6,9,9,6,5,4,7,4,7,5,7,7,8,8,8,8,11,9
"490",4,5,5,5,4,6,9,8,3,9,10,5,5,3,3,1,5,9,1,2,2,0,11,8,8,7,6,8
"491",7,5,5,1,7,4,4,5,8,4,8,9,5,7,5,4,7,3,7,5,4,7,7,7,8,6,11,9
"492",6,5,2,2,8,4,2,5,7,3,1,9,7,6,1,8,8,0,8,10,4,9,5,10,9,5,13,7
"493",5,4,6,6,6,6,7,6,6,4,9,8,3,5,7,2,5,5,3,7,6,4,8,8,6,6,6,6
"494",7,9,10,9,6,9,8,6,7,5,2,9,6,2,9,7,8,6,8,6,4,6,8,10,9,8,12,8
"495",6,4,7,3,4,5,3,3,8,6,6,6,9,8,7,4,8,5,7,5,5,9,2,11,8,7,12,2
"496",4,6,5,4,6,2,5,4,8,5,12,8,3,5,8,6,3,4,4,6,7,3,7,6,6,7,9,2
"497",7,5,7,2,9,4,5,6,6,5,6,8,3,6,5,6,9,5,7,10,2,9,5,10,9,2,13,7
"498",4,5,5,5,5,5,5,5,3,5,8,7,3,6,6,3,7,7,8,6,7,7,9,6,6,6,9,6
"499",6,6,6,7,5,4,4,4,5,5,8,7,2,6,9,4,6,4,4,7,6,6,4,3,6,6,10,4
"500",7,3,8,5,6,3,6,6,2,6,11,4,6,8,8,4,7,5,3,5,4,3,10,7,7,5,5,3
"501",5,4,4,0,5,3,4,5,9,3,6,9,7,8,6,6,10,0,7,8,0,10,6,9,7,6,13,5
"502",10,7,9,9,10,4,10,7,6,3,1,9,8,5,5,7,10,4,8,8,2,9,5,11,11,2,12,2
"503",9,10,7,4,9,7,2,3,5,5,4,7,7,9,6,2,3,3,10,10,4,8,5,10,7,4,13,8
"504",8,7,6,2,6,8,2,4,1,8,9,8,7,1,3,6,7,1,10,7,5,10,6,12,6,4,10,5
"505",8,8,8,5,7,6,3,2,3,6,5,8,8,4,6,6,8,1,8,9,3,6,0,9,7,5,10,5
"506",3,6,3,4,5,3,1,3,3,5,10,6,4,3,5,4,8,6,6,2,3,8,5,8,5,3,9,4
"507",9,6,6,6,3,6,3,1,0,9,8,6,5,0,9,4,3,4,7,7,8,7,1,11,8,3,6,9
"508",10,9,8,9,9,7,8,10,9,1,2,10,9,9,5,7,8,3,6,10,3,10,5,12,10,6,13,4
"509",6,7,8,8,6,5,7,3,5,7,6,7,4,6,3,4,5,3,7,8,5,8,8,9,9,8,9,8
"510",8,8,4,3,5,3,2,4,5,4,3,10,9,4,2,10,7,1,9,9,2,9,5,8,10,4,10,6
"511",8,9,4,5,6,8,6,9,8,5,2,8,5,6,4,6,7,4,7,9,3,9,10,10,9,6,12,6
"512",5,7,6,5,2,8,5,7,9,1,1,9,10,6,5,8,9,0,10,8,1,10,4,9,7,4,13,4
"513",7,9,9,2,9,6,2,3,8,3,4,10,7,7,2,5,9,1,8,8,4,10,4,11,9,7,12,7
"514",4,8,7,0,2,3,3,6,7,4,9,7,4,6,8,5,8,5,10,10,3,8,9,10,8,4,13,8
"515",10,9,8,4,10,9,4,6,7,3,3,9,6,8,5,6,6,3,7,9,8,9,6,8,9,4,11,6
"516",6,6,3,1,3,3,3,2,7,2,9,7,6,3,5,5,8,2,4,5,1,10,9,9,8,7,11,4
"517",6,3,4,1,3,2,4,4,5,5,9,8,7,2,4,4,6,7,7,5,4,6,8,11,7,8,11,5
"518",6,10,6,6,4,4,5,9,9,2,0,10,8,6,4,4,10,0,10,10,2,9,6,8,10,5,13,6
"519",5,2,6,2,3,6,1,1,1,10,10,7,5,0,3,5,7,2,8,5,5,10,2,10,6,4,7,6
"520",4,6,5,5,7,5,8,6,5,6,10,8,7,5,7,6,6,6,4,5,2,7,8,9,6,10,7,6
"521",8,8,6,6,6,6,5,5,3,4,7,8,7,4,8,4,6,2,9,8,7,6,3,11,9,2,12,3
"522",5,9,7,2,8,9,3,0,7,7,11,7,5,4,9,3,8,1,8,8,2,9,5,11,10,8,13,8
"523",4,5,6,7,6,5,5,5,8,7,8,5,7,4,6,3,4,6,4,6,3,4,6,7,6,5,9,4
"524",6,7,6,4,9,6,3,6,8,2,3,10,9,4,3,8,9,0,9,9,6,10,8,7,8,4,11,7
"525",8,8,5,4,8,10,9,9,9,1,0,10,9,8,5,8,10,0,10,9,3,10,6,8,8,5,12,6
"526",5,8,6,4,6,6,0,2,9,8,1,7,1,8,8,4,7,1,7,8,9,8,8,11,6,9,11,9
"527",5,7,7,5,7,2,6,3,8,4,2,10,6,9,6,3,7,2,7,5,3,8,6,8,8,6,12,10
"528",5,5,4,1,4,4,8,2,2,9,11,6,4,3,7,5,7,6,6,9,4,6,9,10,9,5,12,9
"529",3,6,5,0,3,6,2,2,5,5,8,7,2,5,7,4,7,2,6,8,4,8,5,8,7,7,13,5
"530",3,6,3,3,3,3,4,4,7,1,4,9,7,6,2,2,8,0,9,5,3,8,6,11,8,2,14,5
"531",6,6,5,4,5,4,9,5,3,2,6,7,5,3,5,4,5,2,7,6,0,7,6,6,7,4,10,4
"532",7,9,6,4,9,6,7,4,4,5,4,9,4,4,2,7,8,1,9,6,4,9,5,7,7,3,10,8
"533",7,9,7,2,8,3,1,4,10,3,8,10,7,6,6,6,9,1,6,9,3,8,9,12,8,6,13,8
"534",7,5,7,7,7,4,8,5,8,4,7,6,5,5,2,3,6,5,6,4,7,7,12,6,4,7,9,6
"535",6,5,5,7,4,3,7,6,6,4,12,7,2,6,9,6,0,6,4,4,6,3,6,7,8,7,9,6
"536",3,7,6,4,3,4,5,3,1,9,7,5,8,2,7,1,7,4,8,6,5,9,7,10,9,6,11,4
"537",5,6,9,2,8,9,2,0,10,6,2,5,4,8,7,6,8,5,5,7,4,9,7,12,8,8,14,7
